,Rank,Movie_Name,Year_release,IMDB_Ratings,SexNudity,Violence,Profanity,KIM Rating
224,225,Into the Wild,2007,8.0,8,6,6,R
225,226,The Wizard of Oz,1939,8.0,1,7,1,PG13
226,227,La haine,1995,8.0,3,2,5,PG13
227,228,The Incredibles,2004,8.0,2,4,1,PG
228,229,The Exorcist,1973,8.0,5,7,7,R
229,230,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,3,5,3,PG13
230,231,To Be or Not to Be,1942,8.0,4,6,2,PG13
231,232,Groundhog Day,1993,8.0,2,3,3,PG
232,233,My Father and My Son,2005,8.0,3,3,5,PG13
233,234,The Battle of Algiers,1966,8.0,1,7,1,PG13
234,235,The Grapes of Wrath,1940,8.0,1,7,1,PG13
235,236,Hachi: A Dog's Tale,2009,8.0,2,4,1,PG
236,237,The Handmaiden,2016,8.0,1,7,1,PG13
237,238,Pather Panchali,1955,8.0,1,5,2,PG
238,239,Amores Perros,2000,8.0,1,3,1,G
239,240,Rebecca,1940,8.0,5,5,2,PG13
240,241,Cool Hand Luke,1967,8.0,5,5,5,PG13
241,242,The Sound of Music,1965,8.0,1,7,1,PG13
242,243,The 400 Blows,1959,8.0,1,7,1,PG13
243,244,It Happened One Night,1934,8.0,1,4,7,R
244,245,Persona,1966,8.0,1,4,1,PG
245,246,The Help,2011,8.0,9,9,6,R
246,247,The Iron Giant,1999,8.0,2,5,3,PG
247,248,Life of Brian,1979,8.0,6,5,5,R
248,249,Aladdin,1992,8.0,1,3,0,N/a
249,250,Dances with Wolves,1990,8.0,1,5,2,PG
